,Price,SQFT,rooms,Des
355,"₹ 35 Lac
₹ 2,593/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Vaishali Nagar
356,"₹ 52 Lac
₹ 1,444/sq.ft.","3,600 sq.ft.
(334 sq.m.) Plot Area",,Residential land / Plot in Sirsi Road
357,"₹ 52.25 Lac
₹ 3,056/sq.ft.","1,710 sq.ft.
(159 sq.m.) Plot Area",,Residential land / Plot in Gandhi Path
358,"₹ 23.8 Lac
₹ 3,111/sq.ft.","765 sq.ft.
(71 sq.m.) Plot Area",,Residential land / Plot in Gandhi Path
359,"₹ 1.02 Cr
₹ 6,000/sq.ft.","1,700 sq.ft.
(158 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Civil Lines
360,"₹ 23 Lac
₹ 1,229/sq.ft.","1,872 sq.ft.
(174 sq.m.) Plot Area",,Residential land / Plot in Mahapura
361,"₹ 19 Lac
₹ 2,714/sq.ft.","700 sq.ft.
(65 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Bindayaka
362,"₹ 32 Lac
₹ 2,285/sq.ft.","1,400 sq.ft.
(130 sq.m.) Plot Area","2 BHK
3 Baths",2 Bedroom Independent House in Sirsi Road
363,"₹ 52 Lac
₹ 4,727/sq.ft.","1,100 sq.ft.
(102 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Kanakpura
364,"₹ 50 Lac
₹ 2,500/sq.ft.","2,000 sq.ft.
(186 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jhotwara
365,"₹ 65 Lac
₹ 3,714/sq.ft.","1,750 sq.ft.
(163 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Murlipura
366,"₹ 48 Lac
₹ 2,594/sq.ft.","1,850 sq.ft.
(172 sq.m.) Built-up Area","3 BHK
2 Baths",3 Bedroom Independent House in Murlipura
367,"₹ 72 Lac
₹ 3,891/sq.ft.","1,850 sq.ft.
(172 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Murlipura
368,"₹ 1 Cr
₹ 4,761/sq.ft.","2,100 sq.ft.
(195 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Sindhu Nagar
369,"₹ 55 Lac
₹ 6,111/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Jagdamba Nagar
370,"₹ 44 Lac
₹ 2,750/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Gandhi Path
371,"₹ 38 Lac
₹ 3,800/sq.ft.","1,000 sq.ft.
(93 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
372,"₹ 38 Lac
₹ 3,800/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
373,"₹ 40 Lac
₹ 2,500/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","4 BHK
3 Baths",4 BHK Residential Apartment in Mansarovar
374,"₹ 50.6 Lac
₹ 1,278/sq.ft.","3,960 sq.ft.
(368 sq.m.) Plot Area",,Residential land / Plot in Jagatpura
375,"₹ 75.83 Lac
₹ 3,611/sq.ft.","2,099 sq.ft.
(195 sq.m.) Plot Area",,Residential land / Plot in Vaishali Nagar
376,"₹ 40 Lac
₹ 1,904/sq.ft.","2,100 sq.ft.
(195 sq.m.) Built-up Area","4 BHK
3 Baths",4 Bedroom Independent House in Manchwa
377,"₹ 55 Lac
₹ 2,619/sq.ft.","2,100 sq.ft.
(195 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
378,"₹ 53 Lac
₹ 2,649/sq.ft.","2,000 sq.ft.
(186 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
379,"₹ 50 Lac
₹ 2,499/sq.ft.","2,000 sq.ft.
(186 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
380,"₹ 51 Lac
₹ 2,684/sq.ft.","1,900 sq.ft.
(177 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
381,"₹ 70 Lac
₹ 3,181/sq.ft.","2,200 sq.ft.
(204 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
382,"₹ 55 Lac
₹ 3,055/sq.ft.","1,800 sq.ft.
(167 sq.m.) Built-up Area","3 BHK
4 Baths",3 Bedroom Independent House in Gokulpura
383,"₹ 24 Lac
₹ 1,751/sq.ft.","1,370 sq.ft.
(127 sq.m.) Built-up Area","3 BHK
2 Baths",3 Bedroom Independent House in Manchwa
384,"₹ 44.85 Lac
₹ 1,661/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
385,"₹ 29.9 Lac
₹ 1,661/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
386,"₹ 14.95 Lac
₹ 1,661/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
387,"₹ 83.37 Lac
₹ 1,989/sq.ft.","4,191 sq.ft.
(389 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
388,"₹ 39 Lac
₹ 2,600/sq.ft.","1,500 sq.ft.
(139 sq.m.) Built-up Area","3 BHK
2 Baths",3 Bedroom Independent House in Kalwar Road
389,"₹ 32 Lac
₹ 2,206/sq.ft.","1,450 sq.ft.
(135 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Kalwar Road
390,"₹ 44.98 Lac
₹ 1,666/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area",,Residential land / Plot in Mahapura
391,"₹ 39.73 Lac
₹ 1,666/sq.ft.","2,385 sq.ft.
(222 sq.m.) Plot Area",,Residential land / Plot in Mahapura
392,"₹ 22.38 Lac
₹ 1,989/sq.ft.","1,125 sq.ft.
(105 sq.m.) Plot Area",,Residential land / Plot in Mahapura
393,"₹ 24 Lac
₹ 2,285/sq.ft.","1,050 sq.ft.
(98 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
394,"₹ 56 Lac
₹ 5,983/sq.ft.","936 sq.ft.
(87 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Jagdamba Nagar
395,"₹ 20.83 Lac
₹ 1,389/sq.ft.","1,494 sq.ft.
(139 sq.m.) Plot Area",,Residential land / Plot in Bindayaka
396,"₹ 45 Lac
₹ 1,667/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area",,Residential land / Plot in Mahapura
397,"₹ 34.61 Lac
₹ 1,989/sq.ft.","1,739 sq.ft.
(162 sq.m.) Plot Area",,Residential land / Plot in Mahapura
398,"₹ 1.4 Cr
₹ 5,238/sq.ft.","2,673 sq.ft.
(248 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Shastri Nagar
399,"₹ 40 Lac
₹ 2,439/sq.ft.","1,640 sq.ft.
(152 sq.m.) Super built-up Area","4 BHK
3 Baths",4 BHK Residential Apartment in Mansarovar
400,"₹ 34 Lac
₹ 2,677/sq.ft.","1,270 sq.ft.
(118 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
401,"₹ 25 Lac
₹ 2,632/sq.ft.","950 sq.ft.
(88 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Gandhi Path
402,"₹ 37 Lac
₹ 2,803/sq.ft.","1,320 sq.ft.
(123 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar
403,"₹ 34 Lac
₹ 2,468/sq.ft.","1,378 sq.ft.
(128 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar Extension
404,"₹ 31 Lac
₹ 2,280/sq.ft.","1,360 sq.ft.
(126 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
405,"₹ 26 Lac
₹ 2,737/sq.ft.","950 sq.ft.
(88 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
406,"₹ 36 Lac
₹ 2,518/sq.ft.","1,430 sq.ft.
(133 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
407,"₹ 37 Lac
₹ 2,643/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
408,"₹ 36 Lac
₹ 2,400/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
409,"₹ 39 Lac
₹ 3,120/sq.ft.","1,250 sq.ft.
(116 sq.m.) Built-up Area","3 BHK
2 Baths",3 Bedroom Independent House in Kalwar Road
410,"₹ 43 Lac
₹ 2,866/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Vaishali Nagar
411,"₹ 55 Lac
₹ 5,933/sq.ft.","927 sq.ft.
(86 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Vaishali Nagar
412,"₹ 43 Lac
₹ 2,687/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","4 BHK
3 Baths",4 BHK Residential Apartment in Vaishali Nagar
413,"₹ 40 Lac
₹ 2,758/sq.ft.","1,450 sq.ft.
(135 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Vaishali Nagar
414,"₹ 78 Lac
₹ 76,470/sq.ft.","102 sq.ft.
(9 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Mansarovar
415,"₹ 1.11 Cr
₹ 9,867/sq.ft.","1,125 sq.ft.
(105 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Mansarovar
416,"₹ 70 Lac
₹ 9,150/sq.ft.","765 sq.ft.
(71 sq.m.) Plot Area","4 BHK
3 Baths",4 Bedroom Independent House in Mansarovar
417,"₹ 1.28 Cr
₹ 8,317/sq.ft.","1,539 sq.ft.
(143 sq.m.) Plot Area","5 BHK
4 Baths",5 Bedroom Independent House in Mansarovar
418,"₹ 57 Lac
₹ 3,931/sq.ft.","1,450 sq.ft.
(135 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Kalwar Road
419,"₹ 32 Lac
₹ 2,746/sq.ft.","1,165 sq.ft.
(108 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Kalwar Road
420,"₹ 52.5 Lac
₹ 4,338/sq.ft.","1,210 sq.ft.
(112 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
421,"₹ 57 Lac
₹ 4,691/sq.ft.","1,215 sq.ft.
(113 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
422,"₹ 70 Lac
₹ 4,697/sq.ft.","1,490 sq.ft.
(138 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Chokhi Dhani
423,"₹ 37 Lac
₹ 2,792/sq.ft.","1,325 sq.ft.
(123 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vatika
424,"₹ 36 Lac
₹ 2,716/sq.ft.","1,325 sq.ft.
(123 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vatika
425,"₹ 30 Lac
₹ 2,970/sq.ft.","1,010 sq.ft.
(94 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vatika
426,"₹ 40.5 Lac
₹ 3,446/sq.ft.","1,175 sq.ft.
(109 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
427,"₹ 40 Lac
₹ 3,404/sq.ft.","1,175 sq.ft.
(109 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
428,"₹ 42.5 Lac
₹ 3,617/sq.ft.","1,175 sq.ft.
(109 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
429,"₹ 52 Lac
₹ 3,489/sq.ft.","1,490 sq.ft.
(138 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
430,"₹ 33 Lac
₹ 3,142/sq.ft.","1,050 sq.ft.
(98 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
431,"₹ 36 Lac
₹ 3,272/sq.ft.","1,100 sq.ft.
(102 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
432,"₹ 42 Lac
₹ 4,200/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Nirman Nagar
433,"₹ 34.98 Lac
₹ 3,306/sq.ft.","1,058 sq.ft.
(98 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
434,"₹ 1.15 Cr
₹ 9,607/sq.ft.","1,197 sq.ft.
(111 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Gandhi Path
435,"₹ 98 Lac
₹ 8,249/sq.ft.","1,188 sq.ft.
(110 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Gandhi Path
436,"₹ 48 Lac
₹ 3,096/sq.ft.","1,550 sq.ft.
(144 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Chitrakoot
437,"₹ 1.3 Cr
₹ 5,652/sq.ft.","2,300 sq.ft.
(214 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Murlipura
438,"₹ 45 Lac
₹ 3,214/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
439,"₹ 39 Lac
₹ 2,785/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Gandhi Path
440,"₹ 34 Lac
₹ 2,615/sq.ft.","1,450 sq.ft.
(135 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
441,"₹ 1.3 Cr
₹ 94,202/sq.ft.","138 sq.ft.
(13 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Vaishali Nagar
442,"₹ 35 Lac
₹ 2,483/sq.ft.","1,410 sq.ft.
(131 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
443,"₹ 32 Lac
₹ 2,345/sq.ft.","1,365 sq.ft.
(127 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar
444,"₹ 42 Lac
₹ 2,800/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jagdamba Nagar
445,"₹ 36.99 Lac
₹ 2,552/sq.ft.","1,450 sq.ft.
(135 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
446,"₹ 31 Lac
₹ 2,280/sq.ft.","1,360 sq.ft.
(126 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar Extension
447,"₹ 35 Lac
₹ 2,555/sq.ft.","1,370 sq.ft.
(127 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar
448,"₹ 41 Lac
₹ 2,733/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jagdamba Nagar
449,"₹ 92 Lac
₹ 8,178/sq.ft.","1,125 sq.ft.
(105 sq.m.) Plot Area","6 BHK
6 Baths",6 Bedroom Independent House in Mansrover Extension
450,"₹ 41 Lac
₹ 3,037/sq.ft.","1,350 sq.ft.
(125 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Chitrakoot
451,"₹ 41 Lac
₹ 2,645/sq.ft.","1,550 sq.ft.
(144 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagdamba Nagar
452,"₹ 27.5 Lac
₹ 5,238/sq.ft.","525 sq.ft.
(49 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Gandhi Path
453,"₹ 68 Lac
₹ 7,556/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Gandhi Path
454,"₹ 71.9 Lac
₹ 9,399/sq.ft.","765 sq.ft.
(71 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Ajmer Road
455,"₹ 1.3 Cr
₹ 13,013/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area","4 BHK
5 Baths",4 Bedroom Independent House in Tonk Road
456,"₹ 55 Lac
₹ 5,000/sq.ft.","1,100 sq.ft.
(102 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Indraprastha Colony
457,"₹ 65 Lac
₹ 7,222/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Patrakar Colony
458,"₹ 38 Lac
₹ 4,222/sq.ft.","900 sq.ft.
(84 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
459,"₹ 48 Lac
₹ 2,750/sq.ft.","1,745 sq.ft.
(162 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jaisinghpura
460,"₹ 38 Lac
₹ 3,066/sq.ft.","1,239 sq.ft.
(115 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jaisinghpura
461,"₹ 24.73 Lac
₹ 1,656/sq.ft.","1,494 sq.ft.
(139 sq.m.) Plot Area",,Residential land / Plot in Mahindra Sez
462,"₹ 1.05 Cr
₹ 10,324/sq.ft.","1,017 sq.ft.
(94 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Ajmer Road
463,"₹ 75 Lac
₹ 8,772/sq.ft.","855 sq.ft.
(79 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Mansarover Extension
464,"₹ 72 Lac
₹ 4,500/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Nirman Nagar
465,"₹ 65 Lac
₹ 8,497/sq.ft.","765 sq.ft.
(71 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Mansarover
466,"₹ 35 Lac
₹ 2,692/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarover
467,"₹ 35 Lac
₹ 2,692/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarover Extension
468,"₹ 52 Lac
₹ 3,714/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Gandhi Path
469,"₹ 35 Lac
₹ 3,500/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
470,"₹ 58 Lac
₹ 7,407/sq.ft.","783 sq.ft.
(73 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Mansarovar
471,"₹ 85 Lac
₹ 8,910/sq.ft.","954 sq.ft.
(89 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Mansarovar
472,"₹ 79 Lac
₹ 4,179/sq.ft.","1,890 sq.ft.
(176 sq.m.) Plot Area",,Residential land / Plot in Govindpura Kardhani Scheme
473,"₹ 34 Lac
₹ 4,047/sq.ft.","840 sq.ft.
(78 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Gandhi Path
474,"₹ 48.5 Lac
₹ 2,026/sq.ft.","2,394 sq.ft.
(222 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
475,"₹ 30 Lac
₹ 2,008/sq.ft.","1,494 sq.ft.
(139 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
476,"₹ 23.5 Lac
₹ 1,740/sq.ft.","1,350 sq.ft.
(125 sq.m.) Built-up Area","2 BHK
2 Baths",2 Bedroom Independent House in Manchwa
477,"₹ 56 Lac
₹ 3,200/sq.ft.","1,750 sq.ft.
(163 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
478,"₹ 43 Lac
₹ 2,774/sq.ft.","1,550 sq.ft.
(144 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Gokulpura
479,"₹ 3.25 Cr
₹ 14,739/sq.ft.","2,205 sq.ft.
(205 sq.m.) Plot Area","5 BHK
5 Baths",5 Bedroom Independent House in Malviya Nagar
480,"₹ 14 Lac
₹ 1,556/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Thikariya
481,"₹ 31 Lac
₹ 2,296/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Gandhi Path
482,"₹ 36.5 Lac
₹ 2,693/sq.ft.","1,355 sq.ft.
(126 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Vaishali Nagar
483,"₹ 38 Lac
₹ 2,666/sq.ft.","1,425 sq.ft.
(132 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Vaishali Nagar
484,"₹ 85 Lac
₹ 3,541/sq.ft.","2,400 sq.ft.
(223 sq.m.) Built-up Area","4 BHK
3 Baths",4 Bedroom Independent House in Murlipura
485,"₹ 43 Lac
₹ 2,925/sq.ft.","1,470 sq.ft.
(137 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jagdamba Nagar
486,"₹ 32 Lac
₹ 2,336/sq.ft.","1,370 sq.ft.
(127 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar Extension
487,"₹ 40 Lac
₹ 2,352/sq.ft.","1,700 sq.ft.
(158 sq.m.) Super built-up Area","4 BHK
3 Baths",4 BHK Residential Apartment in Mansarovar Extension
488,"₹ 33.5 Lac
₹ 2,531/sq.ft.","1,324 sq.ft.
(123 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar Extension
489,"₹ 38 Lac
₹ 325/sq.ft.","11,700 sq.ft.
(1087 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
490,"₹ 32 Lac
₹ 2,461/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar
491,"₹ 92 Lac
₹ 8,178/sq.ft.","1,125 sq.ft.
(105 sq.m.) Plot Area","6 BHK
6 Baths",6 Bedroom Independent House in Mansarovar Extension
492,"₹ 1.05 Cr
₹ 92,920/sq.ft.","113 sq.ft.
(11 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Ajmer Road
493,"₹ 75 Lac
₹ 8,772/sq.ft.","855 sq.ft.
(79 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in mansarover Extension
494,"₹ 45 Lac
₹ 3,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in mansarover Extension
495,"₹ 90 Lac
₹ 7,692/sq.ft.","1,170 sq.ft.
(109 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Mansarover
496,"₹ 39 Lac
₹ 2,437/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","4 BHK
3 Baths",4 BHK Residential Apartment in Mansarovar
497,"₹ 56 Lac
₹ 4,000/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Gandhi Path
498,"₹ 36 Lac
₹ 2,769/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarover
499,"₹ 45 Lac
₹ 3,214/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarover
500,"₹ 42 Lac
₹ 3,230/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
501,"₹ 35 Lac
₹ 2,692/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarover
502,"₹ 35 Lac
₹ 2,692/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarover Extension
503,"₹ 52 Lac
₹ 3,714/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Gandhi Path
504,"₹ 33 Lac
₹ 3,300/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarover Extension
505,"₹ 58 Lac
₹ 6,444/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Gandhi Path
506,"₹ 40 Lac
₹ 5,556/sq.ft.","720 sq.ft.
(67 sq.m.) Plot Area","4 BHK
3 Baths","4 Bedroom Independent House in Loha Mandi Road, 14 Number"
507,"₹ 62.05 Lac
₹ 1,989/sq.ft.","3,119 sq.ft.
(290 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
508,"₹ 78 Lac
₹ 7,808/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area","3 BHK
4 Baths",3 Bedroom Independent House in Mansarovar
509,"₹ 35 Lac
₹ 2,592/sq.ft.","1,350 sq.ft.
(125 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Gokulpura
510,"₹ 40 Lac
₹ 2,580/sq.ft.","1,550 sq.ft.
(144 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Gokulpura
511,"₹ 23 Lac
₹ 1,703/sq.ft.","1,350 sq.ft.
(125 sq.m.) Built-up Area","3 BHK
2 Baths",3 Bedroom Independent House in ansal sushant city 2
512,"₹ 1.25 Cr
₹ 10,064/sq.ft.","1,242 sq.ft.
(115 sq.m.) Plot Area",,Residential land / Plot in Vaishali Nagar
513,"₹ 90 Lac
₹ 3,750/sq.ft.","2,400 sq.ft.
(223 sq.m.) Built-up Area","4 BHK
3 Baths",4 Bedroom Independent House in Vishwamitra Nagar
514,"₹ 81.05 Lac
₹ 3,775/sq.ft.","2,147 sq.ft.
(199 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
515,"₹ 38 Lac
₹ 2,533/sq.ft.","1,500 sq.ft.
(139 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Govindpura
516,"₹ 75 Lac
₹ 6,667/sq.ft.","1,125 sq.ft.
(105 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Vaishali Nagar
