,Price,SQFT,rooms,Des
433,"₹ 48 Lac
₹ 2,564/sq.ft.","1,872 sq.ft.
(174 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
434,"₹ 19 Lac
₹ 1,980/sq.ft.","960 sq.ft.
(89 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jhotwara
435,"₹ 32 Lac
₹ 4,336/sq.ft.","738 sq.ft.
(69 sq.m.) Plot Area","2 BHK
1 Bath",2 Bedroom Independent House in Indra Gandhi Nagar
436,"₹ 37.9 Lac
₹ 3,333/sq.ft.","1,184 sq.ft.
(110 sq.m.) Plot Area","5 BHK
5 Baths",5 Bedroom Independent House in Muhana mandi
437,"₹ 45 Lac
₹ 5,044/sq.ft.","892 sq.ft.
(83 sq.m.) Plot Area",,Residential land / Plot in Murlipura
438,"₹ 92 Lac
₹ 8,214/sq.ft.","1,120 sq.ft.
(104 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Kailash Nagar
439,"₹ 9 Lac
₹ 1,159/sq.ft.","776 sq.ft.
(72 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
440,"₹ 45 Lac
₹ 5,556/sq.ft.","810 sq.ft.
(75 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Niwaru Road
441,"₹ 75 Lac
₹ 4,167/sq.ft.","1,800 sq.ft.
(167 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in ganesh nagar 8
442,"₹ 30 Lac
₹ 3,158/sq.ft.","950 sq.ft.
(88 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Pratap Nagar
443,"₹ 87 Lac
₹ 4,603/sq.ft.","1,890 sq.ft.
(176 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Ajmer Road
444,"₹ 26.21 Lac
₹ 2,139/sq.ft.","1,225 sq.ft.
(114 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Nyay Vatika
445,"₹ 28 Lac
₹ 2,218/sq.ft.","1,262 sq.ft.
(117 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
446,"₹ 1.5 Cr
₹ 6,266/sq.ft.","2,394 sq.ft.
(222 sq.m.) Plot Area","7 BHK
7 Baths",7 Bedroom Independent House in Sanganer
447,"₹ 32 Lac
₹ 4,000/sq.ft.","800 sq.ft.
(74 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Sikar Road
448,"₹ 27 Lac
₹ 1,500/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Hathoj
449,"₹ 38 Lac
₹ 3,166/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Gandhi Path
450,"₹ 1.5 Cr
₹ 8,333/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area","4 BHK
5 Baths",4 Bedroom Independent House in West Chitrakoot
451,"₹ 7.5 Lac
₹ 1,111/sq.ft.","675 sq.ft.
(63 sq.m.) Plot Area",,Residential land / Plot in Mahlan
452,"₹ 30 Lac
₹ 709/sq.ft.","4,230 sq.ft.
(393 sq.m.) Plot Area",,Residential land / Plot in Near Rohini Nagar Phase I
453,"₹ 40 Lac
₹ 3,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Adarsh Nagar
454,"₹ 45 Lac
₹ 3,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Adarsh Nagar
455,"₹ 16.5 Lac
₹ 1,941/sq.ft.","850 sq.ft.
(79 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in japur
456,"₹ 40 Lac
₹ 2,222/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Rambagh
457,"₹ 19 Lac
₹ 770/sq.ft.","2,468 sq.ft.
(229 sq.m.) Plot Area",,Residential land / Plot in Balawala
458,"₹ 75 Lac
₹ 3,333/sq.ft.","2,250 sq.ft.
(209 sq.m.) Plot Area",,Residential land / Plot in Ajmer road
459,"₹ 6.75 Lac
₹ 375/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Gadota
460,"₹ 32.5 Lac
₹ 1,664/sq.ft.","1,953 sq.ft.
(181 sq.m.) Plot Area",,Residential land / Plot in Mahapura
461,"₹ 90 Lac
₹ 508/sq.ft.","17,730 sq.ft.
(1647 sq.m.) Plot Area",,Residential land / Plot in Dudu
462,"₹ 10 Lac
₹ 2,500/sq.ft.","400 sq.ft.
(37 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Sirsi Road
463,"₹ 1.25 Cr
₹ 4,466/sq.ft.","2,898 sq.ft.
(269 sq.m.) Super built-up Area","8 BHK
6 Baths",8 BHK Independent Builder Floor in Sector-8 Pratap Nagar
464,"₹ 34 Lac
₹ 2,833/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Lalarpura
465,"₹ 32 Lac
₹ 3,517/sq.ft.","910 sq.ft.
(85 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Murlipura
466,"₹ 30 Lac
₹ 3,000/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area","3 BHK
1 Bath",3 Bedroom Independent House in Niwaru
467,"₹ 50 Lac
₹ 4,347/sq.ft.","1,150 sq.ft.
(107 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Gandhi Path
468,"₹ 1 Cr
₹ 5,720/sq.ft.","1,748 sq.ft.
(162 sq.m.) Super built-up Area","3 BHK
4 Baths",3 BHK Residential Apartment in parshurampura opposite dher ke balaji
469,"₹ 3.75 Lac
₹ 772/sq.ft.","486 sq.ft.
(45 sq.m.) Plot Area",,Residential land / Plot in Badke balaji
470,"₹ 18.5 Lac
₹ 2,056/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
471,"₹ 65 Lac
₹ 4,351/sq.ft.","1,494 sq.ft.
(139 sq.m.) Plot Area",,Residential land / Plot in heerapura 200 ft bypas
472,"₹ 18 Lac
₹ 900/sq.ft.","2,000 sq.ft.
(186 sq.m.) Plot Area",,Residential land / Plot in Shivdaspura
473,"₹ 18.5 Lac
₹ 2,319/sq.ft.","798 sq.ft.
(74 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Niwaru Road
474,"₹ 50 Lac
₹ 4,167/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Saraswati Nagar
475,"₹ 10 Lac
₹ 721/sq.ft.","1,386 sq.ft.
(129 sq.m.) Plot Area",,Residential land / Plot in Chaksu
476,"₹ 72 Lac
₹ 3,556/sq.ft.","2,025 sq.ft.
(188 sq.m.) Plot Area",,"Residential land / Plot in Kailash Nagar, jhotwara"
477,"₹ 40 Lac
₹ 2,485/sq.ft.","1,610 sq.ft.
(150 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
478,"₹ 22 Lac
₹ 2,589/sq.ft.","850 sq.ft.
(79 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Hanuman Nagar Extension
479,"₹ 35 Lac
₹ 3,181/sq.ft.","1,100 sq.ft.
(102 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Shankar Vihar
480,"₹ 25.51 Lac
₹ 1,926/sq.ft.","1,325 sq.ft.
(123 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Jhotwara
481,"₹ 38.11 Lac
₹ 2,118/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
482,"₹ 55 Lac
₹ 5,365/sq.ft.","1,025 sq.ft.
(95 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vidhyadhar Nagar
483,"₹ 97 Lac
₹ 5,188/sq.ft.","1,870 sq.ft.
(174 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Vaishali Nagar
484,"₹ 1.18 Cr
₹ 6,500/sq.ft.","1,810 sq.ft.
(168 sq.m.) Super built-up Area","3 BHK
4 Baths",3 BHK Residential Apartment in Adarsh Nagar
485,"₹ 31 Lac
₹ 5,141/sq.ft.","603 sq.ft.
(56 sq.m.) Plot Area","3 BHK
4 Baths",3 Bedroom Independent House in Govindpura
486,"₹ 38 Lac
₹ 3,207/sq.ft.","1,185 sq.ft.
(110 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Jagatpura
487,"₹ 35 Lac
₹ 3,500/sq.ft.","1,000 sq.ft.
(93 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Jagatpura
488,"₹ 33 Lac
₹ 2,869/sq.ft.","1,150 sq.ft.
(107 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Gokulpura
489,"₹ 33 Lac
₹ 1,214/sq.ft.","2,720 sq.ft.
(253 sq.m.) Plot Area",,Residential land / Plot in Tonk Road
490,"₹ 21 Lac
₹ 2,333/sq.ft.","900 sq.ft.
(84 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Niwaru Road
491,"₹ 38 Lac
₹ 3,167/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jagatpura
492,"₹ 1.1 Cr
₹ 6,112/sq.ft.","1,800 sq.ft.
(167 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Swage Farm
493,"₹ 10 Lac
₹ 556/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Phagi
494,"₹ 30 Lac
₹ 2,825/sq.ft.","1,062 sq.ft.
(99 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Manchwa
495,"₹ 54.5 Lac
₹ 5,367/sq.ft.","1,015 sq.ft.
(94 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vidhyadhar Nagar
496,"₹ 12 Lac
₹ 3,692/sq.ft.","325 sq.ft.
(30 sq.m.) Carpet Area","1 BHK
1 Bath",1 BHK Independent Builder Floor in Ajmer Road
497,"₹ 2.5 Lac
₹ 516/sq.ft.","484 sq.ft.
(45 sq.m.) Plot Area",,Residential land / Plot in Kodar
498,"₹ 31.51 Lac
₹ 2,917/sq.ft.","1,080 sq.ft.
(100 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Sikar Road
499,"₹ 1.5 Cr
₹ 5,172/sq.ft.","2,900 sq.ft.
(269 sq.m.) Plot Area","8 BHK
5 Baths",8 Bedroom Independent House in Laxmi Narayan Puri
500,"₹ 49.76 Lac
₹ 1,778/sq.ft.","2,799 sq.ft.
(260 sq.m.) Plot Area",,Residential land / Plot in Beelwa
501,"₹ 60 Lac
₹ 3,333/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Gajsinghpura
502,"₹ 1 Cr
₹ 5,342/sq.ft.","1,872 sq.ft.
(174 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Janta Colony
503,"₹ 25 Lac
₹ 2,941/sq.ft.","850 sq.ft.
(79 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Jagatpura
504,"₹ 15 Lac
₹ 1,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Plot Area",,Residential land / Plot in Tonk Road
505,"₹ 25 Lac
₹ 4,166/sq.ft.","600 sq.ft.
(56 sq.m.) Carpet Area","1 BHK
1 Bath",1 BHK Residential Apartment in Near iskcon
506,"₹ 30 Lac
₹ 2,727/sq.ft.","1,100 sq.ft.
(102 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Tara Nagar
507,"₹ 60 Lac
₹ 6,006/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area","4 BHK
4 Baths",4 Bedroom Independent House in Kalwar Road
508,"₹ 4.5 Lac
₹ 500/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Chaksu
509,"₹ 70 Lac
₹ 2,916/sq.ft.","2,400 sq.ft.
(223 sq.m.) Built-up Area","5 BHK
4 Baths",5 Bedroom Independent House in Agra Road
510,"₹ 1.25 Cr
₹ 929/sq.ft.","13,454 sq.ft.
(1250 sq.m.) Plot Area",,Residential land / Plot in mahindra world city
511,"₹ 1.5 Cr
₹ 8,522/sq.ft.","1,760 sq.ft.
(164 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in C-Scheme
512,"₹ 55 Lac
₹ 55,000/sq.ft.","93 sq.ft.
(9 sq.m.) Plot Area",,Residential land / Plot in Jhotwara
513,"₹ 39 Lac
₹ 1,444/sq.ft.","2,723 sq.ft.
(253 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
514,"₹ 15 Lac
₹ 417/sq.ft.","3,600 sq.ft.
(334 sq.m.) Plot Area",,Residential land / Plot in Kalwara
515,"₹ 20 Lac
₹ 2,222/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Muhana mandi
516,"₹ 60.2 Lac
₹ 2,222/sq.ft.","2,709 sq.ft.
(252 sq.m.) Plot Area",,Residential land / Plot in Agra Road
517,"₹ 1.5 Cr
₹ 3,704/sq.ft.","4,050 sq.ft.
(376 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Sitapura
518,"₹ 3 Lac
₹ 333/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Tonk Road
519,"₹ 77.9 Lac
₹ 5,657/sq.ft.","1,377 sq.ft.
(128 sq.m.) Plot Area","4 BHK
5 Baths",4 Bedroom Independent House in Narsinghpura
520,"₹ 37 Lac
₹ 3,083/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
521,"₹ 35 Lac
₹ 5,000/sq.ft.","700 sq.ft.
(65 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Patrakar Colony
522,"₹ 36.99 Lac
₹ 3,539/sq.ft.","1,045 sq.ft.
(97 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
523,"₹ 30 Lac
₹ 3,157/sq.ft.","950 sq.ft.
(88 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Katewa Nagar
524,"₹ 85 Lac
₹ 4,969/sq.ft.","1,650 sq.ft.
(153 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Dada Gurudev Nagar
525,"₹ 73 Lac
₹ 4,866/sq.ft.","1,500 sq.ft.
(139 sq.m.) Plot Area","4 BHK
3 Baths",4 Bedroom Independent House in Bindayaka
526,"₹ 60 Lac
₹ 3,726/sq.ft.","1,610 sq.ft.
(150 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ramnagariya
527,"₹ 30 Lac
₹ 22,556/sq.ft.","133 sq.ft.
(12 sq.m.) Plot Area",,Residential property in Sector 26 Jaipur
528,"₹ 45 Lac
₹ 5,000/sq.ft.","900 sq.ft.
(84 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Tonk Road
529,"₹ 55 Lac
₹ 4,400/sq.ft.","1,250 sq.ft.
(116 sq.m.) Built-up Area","2 BHK
2 Baths",2 Bedroom Independent House in Lotus Villa Jagatpura
530,"₹ 10 Lac
₹ 444/sq.ft.","2,250 sq.ft.
(209 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
531,"₹ 1.5 Lac
₹ 333/sq.ft.","450 sq.ft.
(42 sq.m.) Plot Area",,Residential land / Plot in baba hasan nagar aandhi
532,"₹ 12 Lac
₹ 333/sq.ft.","3,600 sq.ft.
(334 sq.m.) Plot Area",,Residential land / Plot in NH-8
533,"₹ 18 Lac
₹ 281/sq.ft.","6,399 sq.ft.
(594 sq.m.) Plot Area",,Residential land / Plot in Chaksu
534,"₹ 25 Lac
₹ 3,378/sq.ft.","740 sq.ft.
(69 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in GANESH VATIKA - V
535,"₹ 28 Lac
₹ 1,514/sq.ft.","1,850 sq.ft.
(172 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Shivdaspura
536,"₹ 35 Lac
₹ 4,902/sq.ft.","714 sq.ft.
(66 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
537,"₹ 11 Lac
₹ 799/sq.ft.","1,377 sq.ft.
(128 sq.m.) Plot Area",,Residential land / Plot in Jaitpura
538,"₹ 27.36 Lac
₹ 1,672/sq.ft.","1,636 sq.ft.
(152 sq.m.) Plot Area",,Residential land / Plot in Sitapura Industrial Area
539,"₹ 15 Lac
₹ 667/sq.ft.","2,250 sq.ft.
(209 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
540,"₹ 18 Lac
₹ 1,394/sq.ft.","1,291 sq.ft.
(120 sq.m.) Plot Area",,Residential land / Plot in Bhankrota
541,"₹ 74 Lac
₹ 6,151/sq.ft.","1,203 sq.ft.
(112 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Ajmer Road
542,"₹ 53 Lac
₹ 3,313/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Sitabari
543,"₹ 60 Lac
₹ 33,333/sq.ft.","180 sq.ft.
(17 sq.m.) Plot Area",,Residential land / Plot in Bas Badanpura
544,"₹ 65 Lac
₹ 5,968/sq.ft.","1,089 sq.ft.
(101 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Malhotra Nagar
545,"₹ 12 Lac
₹ 444/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area",,Residential land / Plot in Dudu
546,"₹ 55 Lac
₹ 3,437/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Dadi Ka Phatak
547,"₹ 3.75 Cr
₹ 12,532/sq.ft.","2,992 sq.ft.
(278 sq.m.) Plot Area",,Residential land / Plot in Swage Farm
548,"₹ 45 Lac
₹ 3,623/sq.ft.","1,242 sq.ft.
(115 sq.m.) Plot Area",,Residential land / Plot in near oxford school heerapura
549,"₹ 65 Lac
₹ 6,989/sq.ft.","930 sq.ft.
(86 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Sector-6 Vidhyadhar Nagar
550,"₹ 22 Lac
₹ 2,284/sq.ft.","963 sq.ft.
(89 sq.m.) Plot Area",,Residential land / Plot in Sitapura
551,"₹ 1.25 Cr
₹ 12,500/sq.ft.","1,000 sq.ft.
(93 sq.m.) Plot Area","4 BHK
2 Baths",4 Bedroom Independent House in Malviya Nagar Sector -3
552,"₹ 4 Lac
₹ 320/sq.ft.","1,249 sq.ft.
(116 sq.m.) Plot Area",,Residential land / Plot in shitlamata mandir
553,"₹ 52 Lac
₹ 4,340/sq.ft.","1,198 sq.ft.
(111 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Kishan Nagar
554,"₹ 28 Lac
₹ 1,401/sq.ft.","1,998 sq.ft.
(186 sq.m.) Plot Area",,Residential land / Plot in Harmada
555,"₹ 16 Lac
₹ 2,461/sq.ft.","650 sq.ft.
(60 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Sirsi Road
556,"₹ 60 Lac
₹ 4,159/sq.ft.","1,442 sq.ft.
(134 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jagatpura
557,"₹ 45 Lac
₹ 4,132/sq.ft.","1,089 sq.ft.
(101 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
558,"₹ 41 Lac
₹ 5,125/sq.ft.","800 sq.ft.
(74 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Goner Road
559,"₹ 1.7 Cr
₹ 9,189/sq.ft.","2,170 sq.ft.
(202 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Civil Lines
560,"₹ 28 Lac
₹ 3,473/sq.ft.","806 sq.ft.
(75 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Jagatpura
561,"₹ 55 Lac
₹ 3,830/sq.ft.","1,436 sq.ft.
(133 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Model Town-B
562,"₹ 35 Lac
₹ 3,252/sq.ft.","1,076 sq.ft.
(100 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Amer
563,"₹ 40 Lac
₹ 5,355/sq.ft.","747 sq.ft.
(69 sq.m.) Plot Area","2 BHK
3 Baths",2 Bedroom Independent House in Agra Road
564,"₹ 51 Lac
₹ 4,250/sq.ft.","1,200 sq.ft.
(111 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Lalkothi Scheme
565,"₹ 1.2 Cr
₹ 5,217/sq.ft.","2,300 sq.ft.
(214 sq.m.) Carpet Area","4 BHK
4 Baths",4 BHK Residential Apartment in Boytawala
566,"₹ 20 Lac
₹ 1,904/sq.ft.","1,050 sq.ft.
(98 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mangalam City
567,"₹ 26 Lac
₹ 3,714/sq.ft.","700 sq.ft.
(65 sq.m.) Plot Area","1 BHK
1 Bath",1 Bedroom Independent House in Kamla Nagar
568,"₹ 76 Lac
₹ 8,279/sq.ft.","918 sq.ft.
(85 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Jaisinghpura
569,"₹ 35 Lac
₹ 542/sq.ft.","6,458 sq.ft.
(600 sq.m.) Plot Area",,Residential land / Plot in Renwal Phagi Road
570,"₹ 72.5 Lac
₹ 3,222/sq.ft.","2,250 sq.ft.
(209 sq.m.) Plot Area",,Residential land / Plot in Ajmer road
571,"₹ 1.5 Cr
₹ 11,538/sq.ft.","1,300 sq.ft.
(121 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Nirman Nagar
572,"₹ 2.2 Lac
₹ 244/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Bagru
573,"₹ 20 Lac
₹ 583/sq.ft.","3,600 sq.ft.
(334 sq.m.) Plot Area",,Residential land / Plot in Sawarda
574,"₹ 24.99 Lac
₹ 3,856/sq.ft.","648 sq.ft.
(60 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Mahindra City
575,"₹ 7.5 Lac
₹ 1,429/sq.ft.","524 sq.ft.
(49 sq.m.) Plot Area",,Residential land / Plot in Jaisingh Pura Khor
576,"₹ 30 Lac
₹ 3,000/sq.ft.","1,000 sq.ft.
(93 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Sikar Road
577,"₹ 15 Lac
₹ 887/sq.ft.","1,692 sq.ft.
(157 sq.m.) Plot Area",,Residential land / Plot in Kalwar
578,"₹ 21 Lac
₹ 3,621/sq.ft.","579 sq.ft.
(54 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Ajmer Road
579,"₹ 95 Lac
₹ 5,938/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Bani Park
580,"₹ 75 Lac
₹ 7,716/sq.ft.","972 sq.ft.
(90 sq.m.) Super built-up Area","5 BHK
5 Baths",5 BHK Independent Builder Floor in Jhotwara
581,"₹ 35 Lac
₹ 298/sq.ft.","11,732 sq.ft.
(1090 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
582,"₹ 30 Lac
₹ 3,333/sq.ft.","900 sq.ft.
(84 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Tara Nagar
583,"₹ 52 Lac
₹ 4,333/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Sector-18 Pratap Nagar
584,"₹ 27.5 Lac
₹ 2,116/sq.ft.","1,300 sq.ft.
(121 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Jhotwara
585,"₹ 75 Lac
₹ 5,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Sector-7 Vidhyadhar Nagar
586,Price on Request,"1,800 sq.ft.
(167 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Raghav Apartment
587,"₹ 1.75 Cr
₹ 5,900/sq.ft.","3,300 sq.ft.
(307 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Malviya Nagar
588,"₹ 75 Lac
₹ 5,000/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Sector-7 Vidhyadhar Nagar
589,"₹ 65 Lac
₹ 3,611/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area","3 BHK
2 Baths","3 Bedroom Independent House in Mithla vihar 2nd Jagatpura, Jaipur"
590,"₹ 28.5 Lac
₹ 3,105/sq.ft.","918 sq.ft.
(85 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Near JDA colony
591,"₹ 35 Lac
₹ 3,723/sq.ft.","940 sq.ft.
(87 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Muhana mandi
592,"₹ 24 Lac
₹ 1,704/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area",,Residential land / Plot in Jaipur
593,"₹ 31.5 Lac
₹ 25,200/sq.ft.","125 sq.ft.
(12 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Mahendra Nagar
594,"₹ 9 Lac
₹ 1,219/sq.ft.","738 sq.ft.
(69 sq.m.) Plot Area",,Residential land / Plot in Vatika
595,"₹ 1.9 Cr
₹ 4,967/sq.ft.","3,825 sq.ft.
(355 sq.m.) Plot Area","4 BHK
4 Baths","4 Bedroom Independent House in shanti nagar, hatwara road"
596,"₹ 45 Lac
₹ 4,500/sq.ft.","1,000 sq.ft.
(93 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Sarangpura
597,"₹ 75 Lac
₹ 6,250/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Heerapura
598,"₹ 25 Lac
₹ 2,500/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Niwaru Road
599,"₹ 62 Lac
₹ 5,860/sq.ft.","1,058 sq.ft.
(98 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Patrakar Colony
600,"₹ 19 Lac
₹ 2,111/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Mahapura
601,"₹ 20.66 Lac
₹ 1,500/sq.ft.","1,377 sq.ft.
(128 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
