,apt_name,apt_rent_month,BHK,sq_ft,description
0,,"₹ 96.67 Lac
₹ 7,407/sq.ft.","2 BHK
2 Baths","1,305 sq.ft.
(121 sq.m.) Plot Area",2 Bedroom Independent House in Malviya Nagar
1,MD G4 Heights,₹ 55 Lac,"3 BHK
3 Baths","1,373 sq.ft.
(128 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
2,Emaar Vaikunth at Jaipur Greens,"₹ 38 - 95 Lac
₹ 2,111/sq.ft.",,"1,800-4,500 sq.ft.
(167-418 sq.m.) Plot Area",Residential land / Plot in Mahapura
3,Gokul Kripa Kisaan Green Residency,₹ 11.65 - 20.99 Lac,,"999-1,800 sq.ft.
(93-167 sq.m.) Plot Area",Residential land / Plot in Jaisinghpura
4,Vinoba Bhave nagar,"₹ 2.53 Cr
₹ 6,111/sq.ft.",,"4,140 sq.ft.
(385 sq.m.) Plot Area",Residential land / Plot in Vaishali Nagar
5,Vrinda Gardens,₹ 41.71 Lac Onwards,,"1,231 sq.ft.
(114 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
6,Kedia Nikunj Villas,"₹ 65 Lac
₹ 4,460/sq.ft.","3 BHK
4 Baths","1,457 sq.ft.
(135 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
7,Vrinda Gardens,₹ 52 Lac Onwards,,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
8,Vrinda Gardens,₹ 84.21 Lac,"4 BHK
4 Baths","2,415 sq.ft.
(224 sq.m.) Super built-up Area",4 BHK Residential Apartment in Jagatpura
9,Manglamhome Anantara,₹ 92.5 Lac,4 BHK,"2,723 sq.ft.
(253 sq.m.) Built-up Area",4 Bedroom Independent House in Mahapura
10,Gokul Enclave,"₹ 7.75 - 23.25 Lac
₹ 861/sq.ft.",,"900-2,700 sq.ft.
(84-251 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
11,UDB Orchid,"₹ 28 Lac
₹ 2,500/sq.ft.","2 BHK
2 Baths","1,151 sq.ft.
(107 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
12,,"₹ 1.09 Cr
₹ 12,111/sq.ft.","5 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Plot Area",5 Bedroom Independent House in Shastri Nagar
13,Kiara,₹ 44.95 Lac,"3 BHK
3 Baths","1,370 sq.ft.
(127 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
14,Kedia Nikunj Villas,"₹ 65 Lac
₹ 4,460/sq.ft.","3 BHK
4 Baths","1,457 sq.ft.
(135 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
15,Shubh Villa,"₹ 60 - 80 Lac
₹ 3,875/sq.ft.",3 BHK,"1,600-2,000 sq.ft.
(149-186 sq.m.) Built-up Area",3 Bedroom Independent House in Mansarovar Extension
16,Ashiana Umang,₹ 41.11 Lac,2 BHK,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Residential Apartment in Ajmer Road
17,"5 JHA 18 , Jawahar Nagar","₹ 3.5 Cr
₹ 14,620/sq.ft.",,"2,394 sq.ft.
(222 sq.m.) Plot Area",Residential land / Plot in Jawahar Nagar
18,Urbana Jewels,"₹ 33.5 Lac
₹ 2,253/sq.ft.","2 BHK
2 Baths","1,486 sq.ft.
(138 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
19,Vrinda Gardens,₹ 84 Lac,"4 BHK
4 Baths","2,415 sq.ft.
(224 sq.m.) Super built-up Area",4 BHK Residential Apartment in Jagatpura
20,Ashiana Umang,₹ 41.11 Lac,2 BHK,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Residential Apartment in Ajmer Road
21,Ashiana Umang,₹ 54.38 Lac Onwards,,"1,057-1,218 sq.ft.
(98-113 sq.m.) Carpet Area",3 BHK Residential Apartment in Ajmer Road
22,Vrinda Gardens,₹ 41 Lac,"2 BHK
2 Baths","1,231 sq.ft.
(114 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
23,Manglam Park Infinia,₹ 1.53 - 1.65 Cr,,"2,214-2,389 sq.ft.
(206-222 sq.m.) Super built-up Area",4 BHK Residential Apartment in Raja Park
24,Manglam Park Infinia,₹ 1.14 - 1.35 Cr,,"1,652-1,959 sq.ft.
(153-182 sq.m.) Super built-up Area",3 BHK Residential Apartment in Raja Park
25,Vrinda Gardens,₹ 51 Lac Onwards,,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
26,Triveni Golden Leaf,"₹ 37.9 Lac
₹ 7,814/sq.ft.","1 RK
1 Bath","485 sq.ft.
(45 sq.m.) Super built-up Area",(1 RK) Studio Apartment in Tonk Road
27,Triveni Golden Leaf,"₹ 37.9 Lac
₹ 7,814/sq.ft.",1 BHK,"485 sq.ft.
(45 sq.m.) Super built-up Area",1 BHK Residential Apartment in Tonk Road
28,Elite 16,₹ 51 - 65 Lac,3 BHK,"1,165-1,470 sq.ft.
(108-137 sq.m.) Super built-up Area",3 BHK Residential Apartment in Malviya Nagar
29,Royal Eminence,₹ 1.45 - 1.48 Cr,,"2,071-2,112 sq.ft.
(192-196 sq.m.) Super built-up Area",3 BHK Residential Apartment in Tilak Nagar
30,Vatsal Libra Residency,₹ 66.15 Lac,"3 BHK
3 Baths","1,575 sq.ft.
(146 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
31,Shubh Nikunj,"₹ 17.12 Lac
₹ 3,396/sq.ft.","1 BHK
1 Bath","504 sq.ft.
(47 sq.m.) Super built-up Area",1 BHK Residential Apartment in Mansarovar Extension
32,Shubh Nikunj,"₹ 32.65 Lac
₹ 3,197/sq.ft.","3 BHK
2 Baths","1,021 sq.ft.
(95 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
33,Kedias Amara,₹ 68.5 Lac,"3 BHK
3 Baths","1,546 sq.ft.
(144 sq.m.) Built-up Area",3 Bedroom Independent House in Vaishali Nagar
34,Shubh Nikunj,"₹ 23.4 - 26.75 Lac
₹ 3,200/sq.ft.",,"731-836 sq.ft.
(68-78 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
35,Vatsal Libra Residency,₹ 43.26 - 47.46 Lac,,"1,030-1,130 sq.ft.
(96-105 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
36,Urbana Jewels,"₹ 45 Lac
₹ 2,255/sq.ft.","3 BHK
3 Baths","1,995 sq.ft.
(185 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
37,Mahimas Bellevista,"₹ 45.76 - 46.77 Lac
₹ 3,349/sq.ft.",,"1,366-1,396 sq.ft.
(127-130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
38,Mahima Florenza,"₹ 66.95 - 98.73 Lac
₹ 4,299/sq.ft.",,"1,556-2,295 sq.ft.
(145-213 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
39,Mahima Florenza,"₹ 52.24 Lac
₹ 3,996/sq.ft.",2 BHK,"1,306 sq.ft.
(121 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar
40,Mahima Nirvana,"₹ 37.47 Lac
₹ 2,950/sq.ft.","2 BHK
2 Baths","1,270 sq.ft.
(118 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
41,Mahima Nirvana,"₹ 44.46 Lac
₹ 2,950/sq.ft.","3 BHK
2 Baths","1,507 sq.ft.
(140 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
42,Mahimas Bellevista,"₹ 30.08 - 33.83 Lac
₹ 3,350/sq.ft.",,"897-1,009 sq.ft.
(83-94 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
43,Ruheen Regal,₹ 26.75 - 30.56 Lac,,"900-1,002 sq.ft.
(84-93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
44,Ruheen Regal,₹ 40.72 Lac,3 BHK,"1,408 sq.ft.
(131 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
45,Ruheen Regal,₹ 19.99 Lac,1 BHK,"710 sq.ft.
(66 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jagatpura
46,Narvik Swapnalok,"₹ 8.4 Lac
₹ 2,295/sq.ft.",1 BHK,"366 sq.ft.
(34 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jagatpura
47,MD G4 Heights,₹ 55 Lac,"3 BHK
3 Baths","1,373 sq.ft.
(128 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
48,Vardhman Kings Court,₹ 54.58 - 61.12 Lac,,"1,475-1,652 sq.ft.
(137-153 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
49,Vardhman Kings Court,₹ 44.03 - 44.58 Lac,,"1,190-1,205 sq.ft.
(111-112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
50,Kedias Amara,Price on Request,"4 BHK
4 Baths","2,236 sq.ft.
(208 sq.m.) Built-up Area",4 Bedroom Independent House in Vaishali Nagar
51,UDB Southern Heights,"₹ 29 Lac
₹ 2,292/sq.ft.","2 BHK
2 Baths","1,265 sq.ft.
(118 sq.m.) Carpet Area",2 BHK Residential Apartment in Jagatpura
52,Bhavyaa Green Zenith,"₹ 42 - 43 Lac
₹ 3,204/sq.ft.","3 BHK
3 Baths","1,311-1,341 sq.ft.
(122-125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
53,Sunny square penthouse,"₹ 60 Lac
₹ 1,500/sq.ft.","2 BHK
2 Baths","5,000 sq.ft.
(465 sq.m.) Super built-up Area",2 BHK Residential Apartment in Malviya Nagar
54,Shivgyan Heights,"₹ 82.57 Lac
₹ 5,310/sq.ft.","3 BHK
3 Baths","1,555 sq.ft.
(144 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
55,Ganga Kotecha Royal Gravitaz,₹ 44.75 - 47.65 Lac,,"1,377-1,466 sq.ft.
(128-136 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
56,Kedias The Palm,₹ 63 - 80 Lac,"3 BHK
3 Baths","1,625-2,040 sq.ft.
(151-190 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
57,Kedias The Palm,₹ 79 Lac,"4 BHK
4 Baths","2,040 sq.ft.
(190 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
58,Kedias The Palm,₹ 47 - 65 Lac,"2 BHK
2 Baths","1,225-1,625 sq.ft.
(114-151 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
59,Defined Meadows Villa,₹ 51 Lac,"3 BHK
3 Baths","1,399 sq.ft.
(130 sq.m.) Built-up Area",3 Bedroom Independent House in Jaisinghpura
60,Shobha Divine,₹ 32 - 40 Lac,"3 BHK
3 Baths","1,138-1,417 sq.ft.
(106-132 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
61,Elegant Vaishali Utsav,"₹ 19 Lac
₹ 4,051/sq.ft.","2 BHK
2 Baths","469 sq.ft.
(44 sq.m.) Carpet Area",2 BHK Residential Apartment in Gandhi Path
62,Suncity Jewel of India,"₹ 3.55 Cr
₹ 9,200/sq.ft.","4 BHK
4 Baths","3,855 sq.ft.
(358 sq.m.) Carpet Area",4 BHK Residential Apartment in J.L.N.Marg
63,Ganga Kotecha Royal Gravitaz,₹ 31.98 - 36.21 Lac,,"984-1,114 sq.ft.
(91-103 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
64,Vardhmans Sampada,"₹ 28.88 - 46.06 Lac
₹ 3,800/sq.ft.",,"760-1,212 sq.ft.
(71-113 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
65,Vardhmans Sampada,"₹ 21.47 - 24.32 Lac
₹ 3,800/sq.ft.",,"565-640 sq.ft.
(52-59 sq.m.) Super built-up Area",1 BHK Residential Apartment in Vaishali Nagar
66,Vardhman The Horizon,"₹ 44.02 - 47.9 Lac
₹ 3,100/sq.ft.",,"1,420-1,545 sq.ft.
(132-144 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jhotwara
67,Manglams Dwarika,"₹ 14.32 - 17.9 Lac
₹ 1,989/sq.ft.",,"720-900 sq.ft.
(67-84 sq.m.) Plot Area",Residential land / Plot in Mahapura
68,Zenith Villa,₹ 92 Lac,"4 BHK
4 Baths","2,400 sq.ft.
(223 sq.m.) Built-up Area",4 Bedroom Independent House in Ajmer Road
69,Emaar Vaikunth at Jaipur Greens,"₹ 36.61 - 93.38 Lac
₹ 1,883/sq.ft.",,"1,944-4,959 sq.ft.
(181-461 sq.m.) Plot Area",Residential land / Plot in Mahapura
70,Emaar Jaipur Greens,"₹ 33.89 - 84.74 Lac
₹ 1,883/sq.ft.",,"1,800-4,500 sq.ft.
(167-418 sq.m.) Plot Area",Residential land / Plot in Mahapura
71,Purple Melodia,"₹ 1.14 Cr
₹ 7,100/sq.ft.","2 BHK
2 Baths","1,610 sq.ft.
(150 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
72,CASA 9,"₹ 1.35 Cr
₹ 5,098/sq.ft.","3 BHK
3 Baths","2,648 sq.ft.
(246 sq.m.) Built-up Area",3 Bedroom Independent House in Patrakar Colony
73,Gangaa Kotecha Royal Exotica,"₹ 73.5 Lac
₹ 3,340/sq.ft.","3 BHK
3 Baths","2,200 sq.ft.
(204 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
74,Ganga Kotecha Royal Gravitaz,₹ 31.98 - 36.21 Lac,,"984-1,114 sq.ft.
(91-103 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
75,Ganga Kotecha Royal Gravitaz,₹ 44.75 - 47.65 Lac,,"1,377-1,466 sq.ft.
(128-136 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
76,Vardhman Kings Court,₹ 54.58 - 61.12 Lac,,"1,475-1,652 sq.ft.
(137-153 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
77,Vardhman Kings Court,₹ 44.03 - 44.58 Lac,,"1,190-1,205 sq.ft.
(111-112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
78,Sky 9,₹ 47 Lac,"3 BHK
3 Baths","1,463 sq.ft.
(136 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
79,Vatika Infotech City,"₹ 16.95 Lac - 2.03 Cr
₹ 1,883/sq.ft.",,"900-10,800 sq.ft.
(84-1003 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
80,Sirsi Villas,₹ 65 Lac,"3 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Built-up Area",3 Bedroom Independent House in Sirsi Road
81,,"₹ 8 Cr
₹ 14,043/sq.ft.",,"5,697 sq.ft.
(529 sq.m.) Plot Area",Residential land / Plot in C-Scheme
82,Unnati Nilay,"₹ 29 Lac
₹ 3,222/sq.ft.","3 BHK
2 Baths","900 sq.ft.
(84 sq.m.) Super built-up Area",3 BHK Residential Apartment in Sirsi Road
83,SDC The Destination,"₹ 42.6 - 48.45 Lac
₹ 3,000/sq.ft.",,"1,420-1,615 sq.ft.
(132-150 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
84,Kalptaru Heights,"₹ 36.12 - 36.82 Lac
₹ 3,500/sq.ft.",,"1,032-1,052 sq.ft.
(96-98 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
85,Kalptaru Heights,"₹ 51.49 - 56.91 Lac
₹ 3,500/sq.ft.",,"1,471-1,626 sq.ft.
(137-151 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gandhi Path
86,Singhal Sky Nation,"₹ 44.72 - 44.96 Lac
₹ 3,651/sq.ft.",,"1,224-1,232 sq.ft.
(114-114 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mohanpura
87,Singhal Sky Nation,"₹ 29.09 - 34.31 Lac
₹ 3,377/sq.ft.",,"853-1,027 sq.ft.
(79-95 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mohanpura
88,Auric The Century Park,"₹ 23.5 Lac
₹ 2,673/sq.ft.","2 BHK
2 Baths","879 sq.ft.
(82 sq.m.) Super built-up Area",2 BHK Residential Apartment in Bhankrota
89,,"₹ 26 Lac
₹ 2,300/sq.ft.","2 BHK
2 Baths","1,010 sq.ft.
(94 sq.m.) Super built-up Area",2 BHK Independent Builder Floor in Patrakar Colony
90,MJB Prime,₹ 25.51 Lac,"2 BHK
2 Baths","1,072 sq.ft.
(100 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jhotwara
91,MJB Heights,"₹ 20.51 Lac
₹ 2,433/sq.ft.","2 BHK
2 Baths","842 sq.ft.
(78 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jhotwara
92,Bhavyaa Green Zenith,"₹ 31 - 32 Lac
₹ 3,223/sq.ft.","2 BHK
2 Baths","955-987 sq.ft.
(89-92 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
93,Mahimas Shubh Nilay,"₹ 37.2 - 44.81 Lac
₹ 2,949/sq.ft.",,"1,261-1,519 sq.ft.
(117-141 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
94,Kedias Amara,₹ 71 Lac,"3 BHK
3 Baths","1,546 sq.ft.
(144 sq.m.) Built-up Area",3 Bedroom Independent House in Vaishali Nagar
95,Mahimas Shubh Nilay,"₹ 24.16 Lac
₹ 2,900/sq.ft.","2 BHK
2 Baths","833 sq.ft.
(77 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
96,Elegant Vaishali Utsav,"₹ 18.99 Lac
₹ 3,074/sq.ft.","2 BHK
2 Baths","617 sq.ft.
(57 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
97,Elegant Vaishali Utsav,"₹ 12.75 Lac
₹ 3,119/sq.ft.","1 BHK
1 Bath","408 sq.ft.
(38 sq.m.) Super built-up Area",1 BHK Residential Apartment in Gandhi Path
98,Manglams Grand City,"₹ 18.8 - 67.49 Lac
₹ 1,989/sq.ft.",,"945-3,393 sq.ft.
(88-315 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
99,Manglams Dwarika,"₹ 17.9 - 35.8 Lac
₹ 1,989/sq.ft.",,"900-1,800 sq.ft.
(84-167 sq.m.) Plot Area",Residential land / Plot in Mahapura
100,Vardhman The Horizon,"₹ 27.93 - 37.2 Lac
₹ 3,100/sq.ft.",,"901-1,200 sq.ft.
(84-111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jhotwara
101,Shivraj Residency,"₹ 30.49 Lac
₹ 2,200/sq.ft.","2 BHK
2 Baths","1,386 sq.ft.
(129 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
102,Siddha Mayur,"₹ 30.8 - 34.91 Lac
₹ 2,200/sq.ft.",,"1,400-1,587 sq.ft.
(130-147 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
103,Siddha Mayur,"₹ 24.09 - 25.1 Lac
₹ 2,200/sq.ft.",,"1,095-1,141 sq.ft.
(102-106 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
104,Defined Meadows Villa,₹ 38 Lac,"2 BHK
2 Baths","736 sq.ft.
(68 sq.m.) Built-up Area",2 Bedroom Independent House in Jaisinghpura
105,Defined Meadows Villa,₹ 51 Lac,"3 BHK
3 Baths","1,402 sq.ft.
(130 sq.m.) Built-up Area",3 Bedroom Independent House in Jaisinghpura
106,Defined Sharda Residency,"₹ 36 - 38 Lac
₹ 3,707/sq.ft.","3 BHK
3 Baths","983-1,011 sq.ft.
(91-94 sq.m.) Built-up Area",3 Bedroom Independent House in Mahapura
107,Defined Sharda Residency,"₹ 26 - 27 Lac
₹ 3,392/sq.ft.","2 BHK
2 Baths","682-907 sq.ft.
(63-84 sq.m.) Built-up Area",2 Bedroom Independent House in Mahapura
108,Samanvay The New Door,₹ 20.5 - 24.5 Lac,2 BHK,"726-836 sq.ft.
(67-78 sq.m.) Carpet Area",2 BHK Residential Apartment in Mahindra Sez
109,Samanvay The New Door,₹ 14.25 Lac,1 BHK,"503 sq.ft.
(47 sq.m.) Carpet Area",1 BHK Residential Apartment in Mahindra Sez
110,Ganga Kotecha Royal Gravitaz,₹ 31.98 - 36.21 Lac,,"984-1,114 sq.ft.
(91-103 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
111,Ganga Kotecha Royal Gravitaz,₹ 44.75 - 47.65 Lac,,"1,377-1,466 sq.ft.
(128-136 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
112,Vatika Urban Woods,"₹ 40 - 42.5 Lac
₹ 2,116/sq.ft.",3 BHK,"1,848-2,052 sq.ft.
(172-191 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Ajmer Road
113,Vatika Urban Woods,"₹ 52 Lac
₹ 2,020/sq.ft.",4 BHK,"2,573 sq.ft.
(239 sq.m.) Super built-up Area",4 BHK Independent Builder Floor in Ajmer Road
114,Vardhman Kings Court,₹ 44.03 Lac,"2 BHK
2 Baths","1,190 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
115,Unnati Nilay,"₹ 14 Lac
₹ 3,010/sq.ft.","1 BHK
1 Bath","465 sq.ft.
(43 sq.m.) Super built-up Area",1 BHK Residential Apartment in Sirsi Road
116,Unnati Nilay,"₹ 22.5 Lac
₹ 3,000/sq.ft.","2 BHK
2 Baths","750 sq.ft.
(70 sq.m.) Super built-up Area",2 BHK Residential Apartment in Sirsi Road
117,Vatika IVY Homes,"₹ 38 Lac
₹ 3,653/sq.ft.","2 BHK
2 Baths","1,040 sq.ft.
(97 sq.m.) Built-up Area",2 Bedroom Independent House in Ajmer Road
118,Vatika Suraksha Enclave,"₹ 14.65 - 74.75 Lac
₹ 1,661/sq.ft.",,"882-4,500 sq.ft.
(82-418 sq.m.) Plot Area",Residential land / Plot in Thikariya
119,SDC The Destination,"₹ 31.8 - 38.1 Lac
₹ 3,000/sq.ft.",,"1,060-1,270 sq.ft.
(98-118 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
120,Vatica Infotech,"₹ 55.13 Lac
₹ 1,161/sq.ft.",,"4,746 sq.ft.
(441 sq.m.) Plot Area",Residential land / Plot in Valley Park
121,Auric,₹ 28 Lac,"2 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
122,Vatsalya Tower,₹ 27 Lac,3 BHK,"1,200 sq.ft.
(111 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
123,The Manhattan,"₹ 19.72 Lac
₹ 3,679/sq.ft.","1 BHK
1 Bath","536 sq.ft.
(50 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jagatpura
124,The Manhattan,"₹ 17.45 Lac
₹ 3,727/sq.ft.","1 RK
1 Bath","468 sq.ft.
(43 sq.m.) Super built-up Area",(1 RK) Studio Apartment in Jagatpura
125,Ashadeep Rainbow,"₹ 25.51 Lac
₹ 3,188/sq.ft.",2 BHK,"800 sq.ft.
(74 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
126,Okay Plus Solitaire Suites,₹ 17.21 - 18.75 Lac,,"403-441 sq.ft.
(37-41 sq.m.) Super built-up Area",(1 RK) Studio Apartment in Jagatpura
127,Auric The Century Park,₹ 23.5 Lac,2 BHK,"879 sq.ft.
(82 sq.m.) Super built-up Area",2 BHK Residential Apartment in Bhankrota
128,Auric The Century Park,₹ 13.9 Lac,1 BHK,"564 sq.ft.
(52 sq.m.) Super built-up Area",1 BHK Residential Apartment in Bhankrota
129,Pratap Enclave ( Old Takshak),"₹ 3.25 Cr
₹ 11,122/sq.ft.","3 BHK
4 Baths","2,844 sq.ft.
(264 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
130,Siddha Aangan,"₹ 25.18 - 26.2 Lac
₹ 2,300/sq.ft.",,"1,095-1,139 sq.ft.
(102-106 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
131,KGK Infiniti Homes,₹ 29.7 Lac,,"1,494 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Narsinghpura
132,Vatika Urban Woods,"₹ 56.35 Lac
₹ 2,189/sq.ft.",4 BHK,"2,573 sq.ft.
(239 sq.m.) Super built-up Area",4 BHK Independent Builder Floor in Ajmer Road
133,Vatika Urban Woods,"₹ 40.49 - 44.94 Lac
₹ 2,189/sq.ft.",,"1,848-2,052 sq.ft.
(172-191 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Ajmer Road
134,Emaar Jaipur Greens,"₹ 33.89 - 42.37 Lac
₹ 1,883/sq.ft.",,"1,800-2,250 sq.ft.
(167-209 sq.m.) Plot Area",Residential land / Plot in Mahapura
135,Vatika Jaipur 21,"₹ 40.15 - 53.66 Lac
₹ 2,390/sq.ft.",,"1,680-2,245 sq.ft.
(156-209 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
136,Vatika Jaipur 21,"₹ 30.47 - 34.18 Lac
₹ 2,390/sq.ft.",,"1,275-1,430 sq.ft.
(118-133 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
137,Vatika The Park Apartments,"₹ 66.56 - 97.87 Lac
₹ 2,390/sq.ft.",,"2,785-4,095 sq.ft.
(259-380 sq.m.) Super built-up Area",4 BHK Residential Apartment in Ajmer Road
138,Vatika The Park Apartments,"₹ 44.57 - 51.38 Lac
₹ 2,390/sq.ft.",,"1,865-2,150 sq.ft.
(173-200 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
139,Vatika Suraksha Enclave,"₹ 14.65 - 74.75 Lac
₹ 1,661/sq.ft.",,"882-4,500 sq.ft.
(82-418 sq.m.) Plot Area",Residential land / Plot in Thikariya
140,Gurushikhar Apartments,"₹ 24 Lac
₹ 2,374/sq.ft.","2 BHK
2 Baths","1,095 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajairajpura
141,Shree Jee Aradhana,"₹ 56 Lac
₹ 4,307/sq.ft.","3 BHK
2 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagdamba Nagar
142,Vrinda Gardens,"₹ 54 Lac
₹ 4,500/sq.ft.","2 BHK
2 Baths","1,231 sq.ft.
(114 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
143,MJB Heights,"₹ 30 Lac
₹ 2,689/sq.ft.","3 BHK
3 Baths","1,115 sq.ft.
(104 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jhotwara
144,svl vaibhav enclave,"₹ 25 Lac
₹ 6,476/sq.ft.","1 RK
1 Bath","365 sq.ft.
(34 sq.m.) Super built-up Area",(1 RK) Studio Apartment in Malviya Nagar
145,ACG 35th Avenue,₹ 43 Lac,3 BHK,"1,430 sq.ft.
(133 sq.m.) Super built-up Area",3 BHK Residential Apartment in Chitrakoot
146,Galaxy Enclave The Urban Village,"₹ 21.11 Lac - 1.07 Cr
₹ 1,700/sq.ft.",,"1,242-6,300 sq.ft.
(115-585 sq.m.) Plot Area",Residential land / Plot in Mahindra Sez
147,Okay Plus Solitaire Suites,₹ 17.21 - 18.75 Lac,,"403-441 sq.ft.
(37-41 sq.m.) Super built-up Area",(1 RK) Studio Apartment in Jagatpura
148,Mahima Nirvana,"₹ 44.46 Lac
₹ 2,950/sq.ft.","3 BHK
2 Baths","1,507 sq.ft.
(140 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
